system,width_mm,price
D6 Standard,500,28.0
D6 Standard,700,33.0
D6 Standard,900,37.0
D6 Standard,1100,42.0
D6 Standard,1300,48.0
D6 Standard,1500,50.0
D6 Standard,1700,55.0
D6 Standard,1900,58.0
D6 Standard,2100,60.0
D6 Standard,2300,69.0
D6 Standard,2500,71.0
D6 Standard,2700,76.0
D6 Standard,2900,80.0
D6 Standard,3100,82.0
D6 Standard,3300,86.0
D6 Standard,3500,93.0
D6 Standard,3700,98.0
D6 Standard,3900,101.0
D6 Standard,4100,107.0
D6 Standard,4300,112.0
D6 Standard,4500,115.0
D6 Standard,4700,120.0
D6 Standard,5000,125.0
Senses & Vogue,500,38.0
Senses & Vogue,700,43.0
Senses & Vogue,900,50.0
Senses & Vogue,1100,55.0
Senses & Vogue,1300,61.0
Senses & Vogue,1500,64.0
Senses & Vogue,1700,70.0
Senses & Vogue,1900,73.0
Senses & Vogue,2100,77.0
Senses & Vogue,2300,87.0
Senses & Vogue,2500,90.0
Senses & Vogue,2700,95.0
Senses & Vogue,2900,100.0
Senses & Vogue,3100,104.0
Senses & Vogue,3300,110.0
Senses & Vogue,3500,117.0
Senses & Vogue,3700,122.0
Senses & Vogue,3900,126.0
Senses & Vogue,4000,134.0
