system,band,drop_mm,price_per_slat
89mm,Elements,900,0.41
89mm,A,900,0.66
89mm,B,900,0.84
89mm,C,900,1.3
89mm,D,900,1.44
89mm,E,900,2.38
89mm,Elements,1100,0.52
89mm,A,1100,0.78
89mm,B,1100,1.05
89mm,C,1100,1.58
89mm,D,1100,1.77
89mm,E,1100,2.92
89mm,Elements,1300,0.64
89mm,A,1300,0.92
89mm,B,1300,1.21
89mm,C,1300,1.88
89mm,D,1300,2.07
89mm,E,1300,3.42
89mm,Elements,1500,0.72
89mm,A,1500,1.08
89mm,B,1500,1.43
89mm,C,1500,2.19
89mm,D,1500,2.39
89mm,E,1500,3.94
89mm,Elements,1700,0.82
89mm,A,1700,1.2
89mm,B,1700,1.58
89mm,C,1700,2.46
89mm,D,1700,2.68
89mm,E,1700,4.42
89mm,Elements,1900,0.91
89mm,A,1900,1.36
89mm,B,1900,1.8
89mm,C,1900,2.76
89mm,D,1900,3.0
89mm,E,1900,4.96
89mm,Elements,2100,1.02
89mm,A,2100,1.5
89mm,B,2100,1.97
89mm,C,2100,3.04
89mm,D,2100,3.32
89mm,E,2100,5.49
89mm,Elements,2300,1.11
89mm,A,2300,1.64
89mm,B,2300,2.17
89mm,C,2300,3.34
89mm,D,2300,3.63
89mm,E,2300,6.0
89mm,Elements,2500,1.19
89mm,A,2500,1.79
89mm,B,2500,2.37
89mm,C,2500,3.62
89mm,D,2500,3.95
89mm,E,2500,6.53
89mm,Elements,2700,1.3
89mm,A,2700,1.91
89mm,B,2700,2.56
89mm,C,2700,3.92
89mm,D,2700,4.26
89mm,E,2700,7.04
89mm,Elements,2900,1.42
89mm,A,2900,2.07
89mm,B,2900,2.74
89mm,C,2900,4.21
89mm,D,2900,4.59
89mm,E,2900,7.57
89mm,Elements,3100,1.5
89mm,A,3100,2.21
89mm,B,3100,2.94
89mm,C,3100,4.52
89mm,D,3100,4.92
89mm,E,3100,8.11
89mm,Elements,3300,1.57
89mm,A,3300,2.35
89mm,B,3300,3.12
89mm,C,3300,4.77
89mm,D,3300,5.23
89mm,E,3300,8.62
89mm,Elements,3500,1.7
89mm,A,3500,2.48
89mm,B,3500,3.3
89mm,C,3500,5.08
89mm,D,3500,5.54
89mm,E,3500,9.13
89mm,Elements,3700,1.79
89mm,A,3700,2.63
89mm,B,3700,3.49
89mm,C,3700,5.37
89mm,D,3700,5.84
89mm,E,3700,9.65
89mm,Elements,4000,1.91
89mm,A,4000,2.84
89mm,B,4000,3.79
89mm,C,4000,5.8
89mm,D,4000,6.32
89mm,E,4000,10.43
127mm,Elements,900,0.6
127mm,A,900,0.86
127mm,B,900,1.02
127mm,C,900,1.86
127mm,D,900,2.13
127mm,E,900,3.52
127mm,Elements,1100,0.7
127mm,A,1100,1.09
127mm,B,1100,1.22
127mm,C,1100,2.27
127mm,D,1100,2.62
127mm,E,1100,4.33
127mm,Elements,1300,0.83
127mm,A,1300,1.26
127mm,B,1300,1.46
127mm,C,1300,2.68
127mm,D,1300,3.08
127mm,E,1300,5.08
127mm,Elements,1500,0.95
127mm,A,1500,1.47
127mm,B,1500,1.7
127mm,C,1500,3.11
127mm,D,1500,3.56
127mm,E,1500,5.88
127mm,Elements,1700,1.1
127mm,A,1700,1.65
127mm,B,1700,1.89
127mm,C,1700,3.51
127mm,D,1700,4.01
127mm,E,1700,6.61
127mm,Elements,1900,1.2
127mm,A,1900,1.85
127mm,B,1900,2.13
127mm,C,1900,3.92
127mm,D,1900,4.52
127mm,E,1900,7.46
127mm,Elements,2100,1.34
127mm,A,2100,2.04
127mm,B,2100,2.35
127mm,C,2100,4.33
127mm,D,2100,4.96
127mm,E,2100,8.19
127mm,Elements,2300,1.47
127mm,A,2300,2.24
127mm,B,2300,2.58
127mm,C,2300,4.74
127mm,D,2300,5.44
127mm,E,2300,8.99
127mm,Elements,2500,1.57
127mm,A,2500,2.43
127mm,B,2500,2.78
127mm,C,2500,5.13
127mm,D,2500,5.9
127mm,E,2500,9.73
127mm,Elements,2700,1.73
127mm,A,2700,2.63
127mm,B,2700,3.01
127mm,C,2700,5.56
127mm,D,2700,6.4
127mm,E,2700,10.56
127mm,Elements,2900,1.85
127mm,A,2900,2.82
127mm,B,2900,3.24
127mm,C,2900,5.98
127mm,D,2900,6.86
127mm,E,2900,11.33
127mm,Elements,3100,1.97
127mm,A,3100,3.01
127mm,B,3100,3.47
127mm,C,3100,6.4
127mm,D,3100,7.34
127mm,E,3100,12.11
127mm,Elements,3300,2.1
127mm,A,3300,3.21
127mm,B,3300,3.67
127mm,C,3300,6.79
127mm,D,3300,7.81
127mm,E,3300,12.9
127mm,Elements,3500,2.24
127mm,A,3500,3.42
127mm,B,3500,3.91
127mm,C,3500,7.21
127mm,D,3500,8.28
127mm,E,3500,13.67
127mm,Elements,3700,2.37
127mm,A,3700,3.6
127mm,B,3700,4.14
127mm,C,3700,7.62
127mm,D,3700,8.76
127mm,E,3700,14.45
127mm,Elements,4000,2.56
127mm,A,4000,3.88
127mm,B,4000,4.47
127mm,C,4000,8.23
127mm,D,4000,9.45
127mm,E,4000,15.59
