system,name,band
50mm,Black Olive,Bamboo
50mm,Brushed Cloud,Bamboo
50mm,Brushed Oyster,Bamboo
50mm,Brushed Snow,Bamboo
50mm,Dark Ebony,Bamboo
50mm,Elder,Bamboo
50mm,Ember,Bamboo
50mm,Natural,Bamboo
50mm,Palm,Bamboo
50mm,Sandstone,Bamboo
50mm,Argentate,Everglade
50mm,Charmwood,Everglade
50mm,Cinereal,Everglade
50mm,Coal,Everglade
50mm,Ermine,Everglade
50mm,Ironwork,Everglade
50mm,Moonflower,Everglade
50mm,Robinia,Everglade
50mm,Stripped Walnut,Everglade
50mm,Tuscany Oak,Everglade
50mm,White Carnation,Everglade
